Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
java,org.apache.commons.collections4,IterableSortedMap,0.0,0.0,0.0,0.0,0.0,-1.0
java,org.apache.commons.collections4,MultiValuedMap,171.0,0.0,19.0,19.0,0.0,-1.0
java,org.apache.commons.collections4,BidiMap,10.0,0.0,5.0,5.0,0.0,-1.0
java,org.apache.commons.collections4,FunctorException,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
java,org.apache.commons.collections4,Bag,55.0,0.0,11.0,11.0,0.0,-1.0
java,org.apache.commons.collections4,MultiSetUtils,10.0,0.0,5.0,5.0,1.0,1.0
java,org.apache.commons.collections4,FluentIterable,210.0,0.0,8.0,5.0,0.21212121212121213,0.14705882352941177
java,org.apache.commons.collections4,MultiSet,171.0,0.0,19.0,19.0,0.0,-1.0
java,org.apache.commons.collections4,Entry,6.0,0.0,4.0,4.0,0.0,-1.0
java,org.apache.commons.collections4,Factory,1.0,0.0,2.0,1.0,0.0,-1.0
java,org.apache.commons.collections4,MultiMapUtils,66.0,0.0,12.0,12.0,0.9090909090909091,0.9166666666666666
java,org.apache.commons.collections4,ArrayStack,28.0,0.0,8.0,8.0,1.1428571428571428,1.0
java,org.apache.commons.collections4.collection,AbstractCollectionDecorator,168.0,165.0,17.0,2.0,0.9722222222222222,0.10526315789473684
java,org.apache.commons.collections4.collection,UnmodifiableCollection,45.0,0.0,10.0,10.0,1.1111111111111112,1.0
java,org.apache.commons.collections4.collection,CompositeCollection,263.0,120.0,11.0,6.0,0.7738095238095238,0.20689655172413793
java,org.apache.commons.collections4.collection,CollectionMutator,3.0,0.0,3.0,3.0,0.0,-1.0
java,org.apache.commons.collections4.collection,TransformedCollection,15.0,9.0,4.0,3.0,0.8333333333333334,0.42857142857142855
java,org.apache.commons.collections4.collection,SynchronizedCollection,55.0,0.0,3.0,2.0,0.7,0.09523809523809523
java,org.apache.commons.collections4.collection,UnmodifiableBoundedCollection,91.0,0.0,14.0,11.0,1.0769230769230769,0.7857142857142857
java,org.apache.commons.collections4.collection,IndexedCollection,99.0,62.0,8.0,1.0,0.8125,0.0
java,org.apache.commons.collections4.collection,PredicatedCollection,154.0,98.0,11.0,8.0,0.86,0.3333333333333333
java,org.apache.commons.collections4.collection,Builder,69.0,47.0,7.0,1.0,0.6923076923076923,0.0
java,org.apache.commons.collections4.set,PredicatedSortedSet,36.0,0.0,9.0,3.0,1.125,0.3333333333333333
java,org.apache.commons.collections4.set,UnmodifiableSet,45.0,0.0,10.0,10.0,1.1111111111111112,1.0
java,org.apache.commons.collections4.set,CompositeSet,337.0,239.0,15.0,7.0,0.8160919540229885,0.23333333333333334
java,org.apache.commons.collections4.set,SetMutator,3.0,0.0,3.0,3.0,0.0,-1.0
java,org.apache.commons.collections4.set,AbstractSetDecorator,10.0,0.0,5.0,3.0,1.25,0.6
java,org.apache.commons.collections4.set,UnmodifiableSortedSet,105.0,0.0,15.0,15.0,1.0714285714285714,1.0
java,org.apache.commons.collections4.set,AbstractNavigableSetDecorator,91.0,0.0,14.0,3.0,1.0769230769230769,0.21428571428571427
java,org.apache.commons.collections4.set,MapBackedSet,0.0,0.0,1.0,1.0,0.6296296296296295,0.0
java,org.apache.commons.collections4.set,AbstractSerializableSetDecorator,3.0,0.0,3.0,3.0,1.5,1.0
java,org.apache.commons.collections4.set,TransformedSet,10.0,0.0,5.0,5.0,1.25,0.6
java,org.apache.commons.collections4.set,AbstractSortedSetDecorator,36.0,0.0,9.0,3.0,1.125,0.3333333333333333
java,org.apache.commons.collections4.set,PredicatedNavigableSet,91.0,0.0,14.0,3.0,1.0769230769230769,0.21428571428571427
java,org.apache.commons.collections4.set,ListOrderedSet,208.0,38.0,5.0,4.0,0.7870370370370371,0.14285714285714285
java,org.apache.commons.collections4.set,OrderedSetIterator,6.0,2.0,2.0,2.0,0.625,0.4
java,org.apache.commons.collections4.set,TransformedNavigableSet,105.0,0.0,15.0,3.0,1.0714285714285714,0.2
java,org.apache.commons.collections4.set,TransformedSortedSet,45.0,0.0,10.0,4.0,1.1111111111111112,0.4
java,org.apache.commons.collections4.set,UnmodifiableNavigableSet,231.0,0.0,22.0,22.0,1.0476190476190477,1.0
java,org.apache.commons.collections4.set,PredicatedSet,10.0,0.0,5.0,3.0,1.25,0.4
java,org.apache.commons.collections4.bag,CollectionBag,55.0,0.0,11.0,9.0,1.1,0.8181818181818182
java,org.apache.commons.collections4.bag,UnmodifiableBag,105.0,0.0,15.0,15.0,1.0714285714285714,1.0
java,org.apache.commons.collections4.bag,AbstractMapBag,349.0,103.0,6.0,3.0,0.8315508021390374,0.08571428571428572
java,org.apache.commons.collections4.bag,BagIterator,0.0,0.0,1.0,1.0,0.3333333333333333,0.0
java,org.apache.commons.collections4.bag,MutableInteger,0.0,0.0,1.0,1.0,-0.0,0.0
java,org.apache.commons.collections4.bag,TreeBag,55.0,0.0,11.0,6.0,1.1,0.5454545454545454
java,org.apache.commons.collections4.bag,PredicatedBag,36.0,0.0,9.0,3.0,1.125,0.2222222222222222
java,org.apache.commons.collections4.bag,HashBag,10.0,0.0,5.0,5.0,1.25,1.0
java,org.apache.commons.collections4.bag,TransformedBag,45.0,0.0,10.0,6.0,1.1111111111111112,0.3
java,org.apache.commons.collections4.bag,UnmodifiableSortedBag,105.0,0.0,15.0,15.0,1.0714285714285714,1.0
java,org.apache.commons.collections4.bag,PredicatedSortedBag,15.0,0.0,6.0,3.0,1.2,0.5
java,org.apache.commons.collections4.bag,TransformedSortedBag,21.0,0.0,7.0,4.0,1.1666666666666667,0.5714285714285714
java,org.apache.commons.collections4.bag,SynchronizedBag,55.0,0.0,11.0,11.0,1.1,0.36363636363636365
java,org.apache.commons.collections4.bag,SynchronizedBagSet,0.0,0.0,1.0,1.0,0.0,0.0
java,org.apache.commons.collections4.bag,AbstractSortedBagDecorator,15.0,0.0,6.0,3.0,1.2,0.5
java,org.apache.commons.collections4.bag,AbstractBagDecorator,36.0,0.0,9.0,3.0,1.125,0.3333333333333333
java,org.apache.commons.collections4.bag,SynchronizedSortedBag,21.0,0.0,7.0,7.0,1.1666666666666667,1.0
java,org.apache.commons.collections4.bag,CollectionSortedBag,55.0,0.0,11.0,9.0,1.1,0.8181818181818182
java,org.apache.commons.collections4.multimap,UnmodifiableMultiValuedMap,120.0,0.0,16.0,16.0,1.0666666666666667,0.8125
java,org.apache.commons.collections4.multimap,AbstractMultiValuedMapDecorator,270.0,264.0,21.0,1.0,0.9565217391304348,0.0
java,org.apache.commons.collections4.multimap,LinkedHashSetValuedLinkedHashMap,25.0,22.0,6.0,6.0,0.8571428571428571,0.375
java,org.apache.commons.collections4.multimap,ArrayListValuedHashMap,33.0,30.0,7.0,7.0,0.875,0.4444444444444444
java,org.apache.commons.collections4.multimap,AbstractListValuedMap,356.0,216.0,12.0,10.0,0.7204301075268817,0.3125
java,org.apache.commons.collections4.multimap,ValuesListIterator,0.0,0.0,1.0,1.0,0.4666666666666667,0.0
java,org.apache.commons.collections4.multimap,WrappedList,91.0,0.0,14.0,4.0,0.0,0.0
java,org.apache.commons.collections4.multimap,HashSetValuedHashMap,25.0,22.0,6.0,6.0,0.8571428571428571,0.375
java,org.apache.commons.collections4.multimap,ArrayListValuedLinkedHashMap,33.0,30.0,7.0,7.0,0.875,0.4444444444444444
java,org.apache.commons.collections4.multimap,AbstractSetValuedMap,45.0,0.0,10.0,8.0,0.0,0.6
java,org.apache.commons.collections4.multimap,WrappedSet,3.0,0.0,3.0,3.0,0.0,1.0
java,org.apache.commons.collections4.multimap,TransformedMultiValuedMap,23.0,10.0,4.0,1.0,0.75,0.0
java,org.apache.commons.collections4.multimap,AbstractMultiValuedMap,3654.0,3122.0,41.0,20.0,0.9505494505494505,0.1956521739130435
java,org.apache.commons.collections4.multimap,AsMap,108.0,63.0,9.0,9.0,0.47058823529411764,0.5
java,org.apache.commons.collections4.multimap,AsMapEntrySet,10.0,0.0,5.0,4.0,0.0,0.8
java,org.apache.commons.collections4.multimap,AsMapEntrySetIterator,1.0,0.0,2.0,2.0,0.0,1.0
java,org.apache.commons.collections4.multimap,EntryValues,2.0,1.0,2.0,2.0,0.75,0.6666666666666666
java,org.apache.commons.collections4.multimap,KeysMultiSet,36.0,0.0,9.0,9.0,0.0,1.0
java,org.apache.commons.collections4.multimap,MapEntryTransformer,3.0,0.0,3.0,3.0,0.0,1.0
java,org.apache.commons.collections4.multimap,MultiValuedMapEntry,1.0,0.0,2.0,2.0,0.0,1.0
java,org.apache.commons.collections4.multimap,MultiValuedMapIterator,9.0,0.0,1.0,1.0,0.5,0.0
java,org.apache.commons.collections4.multimap,Values,3.0,0.0,3.0,3.0,0.0,1.0
java,org.apache.commons.collections4.multimap,ValuesIterator,0.0,0.0,1.0,1.0,0.4444444444444445,0.0
java,org.apache.commons.collections4.multimap,WrappedCollection,84.0,48.0,8.0,1.0,0.4666666666666667,0.0
java,org.apache.commons.collections4.properties,OrderedPropertiesFactory,1.0,0.0,2.0,2.0,2.0,1.0
java,org.apache.commons.collections4.properties,PropertiesFactory,820.0,0.0,41.0,41.0,1.025,1.0
java,org.apache.commons.collections4.properties,EmptyProperties,741.0,0.0,39.0,39.0,1.0263157894736843,1.0
java,org.apache.commons.collections4.properties,AbstractPropertiesFactory,66.0,0.0,12.0,5.0,0.0,0.4166666666666667
java,org.apache.commons.collections4.properties,SortedProperties,3.0,0.0,3.0,1.0,1.5,0.0
java,org.apache.commons.collections4.properties,SortedPropertiesFactory,1.0,0.0,2.0,2.0,2.0,1.0
java,org.apache.commons.collections4.properties,OrderedProperties,14.0,0.0,2.0,2.0,0.5714285714285714,0.13333333333333333
java,org.apache.commons.collections4.bidimap,DualLinkedHashBidiMap,15.0,0.0,6.0,6.0,1.2,0.5
java,org.apache.commons.collections4.bidimap,DualHashBidiMap,15.0,0.0,6.0,6.0,1.2,0.5
java,org.apache.commons.collections4.bidimap,AbstractOrderedBidiMapDecorator,28.0,0.0,8.0,2.0,0.0,0.25
java,org.apache.commons.collections4.bidimap,UnmodifiableBidiMap,66.0,66.0,12.0,12.0,1.0,1.0
java,org.apache.commons.collections4.bidimap,UnmodifiableSortedBidiMap,105.0,105.0,15.0,15.0,1.0,1.0
java,org.apache.commons.collections4.bidimap,AbstractSortedBidiMapDecorator,28.0,0.0,8.0,2.0,0.0,0.25
java,org.apache.commons.collections4.bidimap,DualTreeBidiMap,700.0,620.0,22.0,20.0,0.8803418803418804,0.2
java,org.apache.commons.collections4.bidimap,BidiOrderedMapIterator,11.0,0.0,1.0,1.0,0.4666666666666667,0.0
